farmer_id,date,type,amount_rwf,receiver,sender,fee_rwf
F001,2025-07-12,PAYMENT,500,44711873,250793116739,0
F001,2025-07-13,PAYMENT,1000,44711873,250793116739,0
F001,2025-07-14,PAYMENT,2600,49936578,250793116739,0
F001,2025-07-15,PAYMENT,1000,44711873,250793116739,0
F001,2025-07-16,TRANSFER,90000,250793116739,250790256787,0
F001,2025-07-16,PAYMENT,3400,49936578,250793116739,0
F001,2025-07-18,PAYMENT,2800,49936578,250793116739,0
F001,2025-07-21,PAYMENT,500,44711873,250793116739,0
F001,2025-07-22,PAYMENT,1500,49936578,250793116739,0
F001,2025-07-22,TRANSFER,2100,250791344207,250793116739,100
F001,2025-07-23,PAYMENT,5700,49936578,250793116739,0
F001,2025-07-24,PAYMENT,7000,49936578,250793116739,0
F001,2025-07-26,PAYMENT,3500,23439167,250793116739,0
F001,2025-07-26,TRANSFER,2800,250788810891,250793116739,100
F001,2025-07-27,PAYMENT,5400,49936578,250793116739,0
F001,2025-07-27,TRANSFER,2800,250790672642,250793116739,100
F001,2025-07-28,TRANSFER,4700,250791712526,250793116739,100
F001,2025-08-02,PAYMENT,5100,49936578,250793116739,0
F001,2025-08-02,TRANSFER,4100,250790763934,250793116739,100
F001,2025-08-03,TRANSFER,43000,250793116739,250788777572,0
F001,2025-08-03,PAYMENT,2000,44711873,250793116739,0
F001,2025-08-04,PAYMENT,4500,23439167,250793116739,0
F001,2025-08-04,TRANSFER,3100,250791635656,250793116739,100
F001,2025-08-05,TRANSFER,5000,250789146316,250793116739,100
F001,2025-08-06,PAYMENT,500,44711873,250793116739,0
F001,2025-08-06,TRANSFER,4700,250788403906,250793116739,100
F001,2025-08-09,TRANSFER,5200,250789267095,250793116739,100
F001,2025-08-11,PAYMENT,8000,49936578,250793116739,0
F001,2025-08-12,TRANSFER,4500,250793116739,250788994967,0
F001,2025-08-16,PAYMENT,5400,49936578,250793116739,0
F001,2025-08-18,PAYMENT,500,44711873,250793116739,0
F001,2025-08-19,PAYMENT,2300,49936578,250793116739,0
F001,2025-08-19,TRANSFER,900,250793457239,250793116739,20
F001,2025-08-20,PAYMENT,1000,44711873,250793116739,0
F001,2025-08-20,TRANSFER,500,250792970535,250793116739,20
F001,2025-08-21,PAYMENT,1000,44711873,250793116739,0
F001,2025-08-22,PAYMENT,1000,44711873,250793116739,0
F001,2025-08-23,PAYMENT,2000,44711873,250793116739,0
F001,2025-08-24,PAYMENT,1500,49936578,250793116739,0
F001,2025-08-26,PAYMENT,2000,44711873,250793116739,0
F001,2025-08-26,PAYMENT,5200,49936578,250793116739,0
F001,2025-09-02,PAYMENT,3000,44711873,250793116739,0
F001,2025-09-03,TRANSFER,49000,250793116739,250788777572,0
F001,2025-09-03,PAYMENT,2900,49936578,250793116739,0
F001,2025-09-04,TRANSFER,4700,250790699287,250793116739,100
F001,2025-09-06,PAYMENT,4300,49936578,250793116739,0
F001,2025-09-08,TRANSFER,5000,250789146316,250793116739,100
F001,2025-09-08,PAYMENT,1000,44711873,250793116739,0
F001,2025-09-10,TRANSFER,3800,250790421947,250793116739,100
F001,2025-09-11,PAYMENT,1000,44711873,250793116739,0
F001,2025-09-11,TRANSFER,2900,250792133470,250793116739,100
F001,2025-09-12,PAYMENT,28000,42706266,250793116739,0
F001,2025-09-13,TRANSFER,7800,250793116739,250788318635,0
F001,2025-09-14,PAYMENT,3500,23439167,250793116739,0
F001,2025-09-15,PAYMENT,17000,44852685,250793116739,0
F001,2025-09-18,TRANSFER,3400,250793116739,250789450770,0
F001,2025-09-20,PAYMENT,2000,49936578,250793116739,0
F001,2025-09-20,TRANSFER,2100,250791697229,250793116739,100
F001,2025-09-22,PAYMENT,1000,44711873,250793116739,0
F001,2025-09-22,PAYMENT,5700,49936578,250793116739,0
F001,2025-09-22,TRANSFER,3600,250793784475,250793116739,100
